stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220DB000048,48,Drumcondra Station,,53.362257,-6.258808,,,,
8220DB000049,49,Dorset Street Lower,,53.360004,-6.260853,,,,
8220DB000051,51,Eccles Place,,53.35781,-6.263272,,,,
8220DB000052,52,Dorset Street Upper,,53.356661,-6.264565,,,,
8220DB000053,53,Synnott Row,,53.360014,-6.262791,,,,
8220DB000054,54,The Mater Hospital,,53.360222,-6.265908,,,,
8220DB000055,55,Mountjoy Prison,,53.360412,-6.26847,,,,
8220DB000056,56,Phibsborough Church,,53.36076,-6.276374,,,,
8220DB000057,57,Dalymount,,53.36076,-6.2766,,,,
8220DB000058,58,Phibsborough Luas,,53.360946,-6.281204,,,,
8220DB000059,59,Cabra Road,,53.361018,-6.284943,,,,
8220DB000060,60,Quarry Road,,53.361279,-6.289364,,,,
8220DB000063,63,Fassaugh Avenue,,53.366792,-6.29275,,,,
8220DB000064,64,Cabra West Church,,53.367089,-6.295233,,,,
8220DB000065,65,Dingle Road,,53.367255,-6.298051,,,,
8220DB000066,66,Killala Road,,53.367275,-6.30074,,,,
8220DB000068,68,Ventry Drive,,53.369078,-6.304245,,,,
8220DB000069,69,Carnlough Road,,53.37137,-6.30327,,,,
8220DB000071,71,Ventry Park,,53.370258,-6.304439,,,,
8220DB000072,72,Ventry Drive,,53.36897,-6.304265,,,,
8220DB000073,73,Killala Road,,53.367392,-6.300721,,,,
8220DB000074,74,Cabra West Church,,53.3672,-6.295499,,,,
8220DB000075,75,Fionnbarra GAA,,53.366547,-6.291317,,,,
8220DB000077,77,Quarry Road,,53.361309,-6.289574,,,,
8220DB000078,78,Cabra Road,,53.361149,-6.284066,,,,
8220DB000079,79,Phibsborough Luas,,53.361021,-6.280796,,,,
8220DB000080,80,Phibsborough Church,,53.360863,-6.276054,,,,
8220DB000081,81,Phibsborough,,53.360876,-6.271967,,,,
8220DB000082,82,Doyle's Corner,,53.360798,-6.271549,,,,
8220DB000083,83,The Mater Hospital,,53.36029,-6.26529,,,,
8220DB000084,84,Synnott Row,,53.360163,-6.263702,,,,
8220DB000085,85,Home Farm Road East,,53.373958,-6.251913,,,,
8220DB000087,87,Clare Road,,53.3767517255719,-6.2548802899246,,,,
8220DB000088,88,Walnut Rise,,53.3772872552991,-6.2576992286456,,,,
