trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
5403_848,17:03:00,17:03:00,8240IR0020,1,Bray (Daly),0,1,1
5403_848,17:07:00,17:07:00,8240IR0138,2,,0,0,1
5403_848,17:09:00,17:10:00,8220IR0139,3,,0,0,1
5403_848,17:12:00,17:12:00,8240IR0025,4,,0,0,1
5403_848,17:14:00,17:14:00,8220IR0141,5,,0,0,1
5403_848,17:16:00,17:17:00,8220IR0035,6,,0,0,1
5403_848,17:18:00,17:19:00,8220IR0131,7,,0,0,1
5403_848,17:20:00,17:21:00,8220IR3881,8,,0,0,1
5403_848,17:24:00,17:24:00,8220IR0032,9,,0,0,1
5403_848,17:29:00,17:30:00,8220IR0007,10,,0,0,1
5403_848,17:32:00,17:33:00,8220IR0025,11,,0,0,1
